id,band,title,year
15361,23850,Legenda skał,2016
15362,23851,The Anonymous,2011
15363,23856,Lakeside Terrorfrönt,2014
15364,23861,Extermination of the Dominant Species,2007
15365,23863,La era de la decadencia,2011
15366,23863,Crónicas de una muerte anunciada,2013
15367,23863,The Blackout,2016
15368,23864,The Cursed King,2010
15369,23865,The Chopping Block,2009
15370,23865,A Face of Leather,2011
15371,23870,The Myth of Purity,2012
15372,23871,Obsessive Visions,2007
15373,23874,Necrobutchering,2002
15374,23874,Receptive for Chaos,2005
15375,23874,Dobermann,2009
15376,23874,No Place to Hide,2012
15377,23875,No Lessons Need Learning,2014
15378,23876,Vesztes világ,1999
15379,23877,Evil Reborn,2002
15380,23877,Taste the Blood,2009
15381,23877,The Reckoning,2013
15382,23878,Abandon//Forsaken,2014
15383,23881,Universal Hatred,2016
15384,23884,The Evolving Self,1994
15385,23884,Posthuman,1995
15386,23884,We Set Your Thoughts on Fire,2003
15387,23884,We Are the Damned,2010
15388,23884,Creating Destruction,2016
15389,23887,Satanic War,2002
15390,23894,Death Surrounds Us,2016
15391,23896,Euphemisms of Dogma,2003
15392,23900,Nueva degeneración,2005
15393,23905,...Where All Dividing Lines Become a Blur...,1996
15394,23906,Where Everything Shall Die,2014
15395,23908,Right of Insubordination,1997
15396,23908,The Nondescript,2006
15397,23909,Satanista suprema,2007
15398,23911,Mortification,1991
15399,23911,Scrolls of the Megilloth,1992
15400,23911,Post Momentary Affliction,1993
15401,23911,Blood World,1994
15402,23911,Primitive Rhythm Machine,1995
15403,23911,EnVision EvAngelene,1996
15404,23911,Triumph of Mercy,1998
15405,23911,Hammer of God,1999
15406,23911,The Silver Cord Is Severed,2001
15407,23911,Relentless,2002
15408,23911,Brain Cleaner,2004
15409,23911,Erasing the Goblin,2006
15410,23911,The Evil Addiction Destroying Machine,2009
15411,23911,Realm of the Skelataur,2015
15412,23924,...Die!!,2004
15413,23924,Dissonance,2015
15414,23928,Blackened Images,1991
15415,23928,Shine of the End,1995
15416,23932,All the Witches Dance,1994
15417,23932,Secret Sudaria,1997
15418,23932,Tolling 13 Knell,2000
15419,23932,Buried in Time,2004
15420,23932,Spiritual Independence,2014
15421,23933,Distorted Massacre: Fear the Madness,2002
15422,23934,Teeth,2008
15423,23935,Once upon a Dreary...,1996
15424,23935,Whispers from Her Grave,2000
15425,23940,Da Carniça ao Pó,2016
15426,23941,Bajo el manto de la crueldad,2006
15427,23946,Metal Ride,2010
15428,23946,Shoot 'Em Up,2012
15429,23947,Nemesis omnisciente,2009
15430,23948,Sickness of Memory,2009
15431,23948,Deathlike Thrash 'n' Roll,2012
15432,23948,Screwing the Devil,2015
15433,23950,Karma,2006
15434,23950,Pandora\'s Box,2008
15435,23952,Intersticio,2005
15436,23952,Arde la tierra en llamas,2009
15437,23961,She's My Grief,2000
15438,23961,The Frankness Eve,2008
15439,23961,For All the Sins,2013
15440,23962,Greetings from Hell,1993
15441,23963,Mourning the New Dawn,2009
15442,23964,Chapter I: Years to Pass,2011
15443,23964,Chapter II: New Horizons,2014
15444,23965,Dust,2001
15445,23965,The Sullen Sulcus,2002
15446,23965,A Murderous Circus,2005
15447,23965,A Disease for the Ages,2008
15448,23965,Formless,2013
15449,23965,Rust & Bone,2015
15450,23968,Inception,2010
15451,23969,Coprometidos con la causa (Shit & Honor),2011
15452,23969,La avanzada pestilente,2015
15453,23974,14 cañonazos,2011
15454,23974,5 cadáveres en 3 maletas,2011
15455,23976,Brutality Show,2015
15456,23977,Seven Murders: The Fractured Soul,2015
15457,23978,Go to the Next Floor,2009
15458,23978,The Overwhelming End,2012
15459,23982,Blackened Symphony,2000
15460,23983,Abuse,1996
15461,23985,World,1992
15462,23987,Runes of Blood,2004
15463,23988,Advanced Mummification Procedure,2011
15464,23989,Destrucción total,2010
15465,23991,Perlahan... Pasti Mati,2005
15466,23991,Metal Medan,2014
15467,23992,A Short Story,1998
15468,23992,From Deep Inside,2001
15469,23995,Results,2012
15470,23996,Mental Surgery,2008
15471,24000,The Spawn of Absolute Hatred,2015
15472,24000,Rituals of Profane Bloodshed,2015
15473,24001,Manifestation of Evil,2012
15474,24001,Incinerate,2015
15475,24005,Ancient Memories,2004
15476,24006,Hell Tank 666,2015
15477,24007,Decomposition Part 1: Pallor Mortis,2016
15478,24008,Violent by Design,2007
15479,24009,Mustpain,2006
15480,24011,The Aeonic Majesty,2001
15481,24013,Jackhammers Symphony,2006
15482,24017,Mutilation,1992
15483,24018,Bloodstone,1999
15484,24024,Voices from Room Zero,2012
15485,24026,Kyrie Eleison,2005
15486,24026,Gorethodox Violent Rapture of Self-Mutilation,2007
15487,24027,Carnal Obduction,2010
15488,24027,Thrash Destruction,2013
15489,24027,Violence Academy,2015
15490,24030,Horizon of My Heaven,2012
15491,24031,Broken Leaf,2009
15492,24032,...Too Much Funeral Misery,2008
15493,24033,Happy Viking Bloody Fest,2014
15494,24035,Mechanical Infection,2005
15495,24037,Toxic Society,2012
15496,24039,Concentration of Suffering,2000
15497,24039,Dancing on Landmines,2003
15498,24042,В пасти безумия,2012
15499,24043,...and the Long Night Fell| No Morning Followed,2005
15500,24043,Two Years Later,2010
15501,24043,Hell of Pain,2013
15502,24044,Kicked in the Tabernacles,2008
15503,24045,Shadows of the Unknown,1994
15504,24050,Wicca,1992
15505,24050,Göetia,1993
15506,24050,The World Is So Good That Who Made It Doesn't Live Here,1996
15507,24050,Profanus,2001
15508,24051,Reigns of Terror,2016
15509,24052,Gods of Chaos,2014
15510,24054,The Impaler,2010
15511,24055,Pain Amplifier,1995
15512,24056,Mytile Vey Lorth,2002
15513,24056,Disillusion,2007
15514,24056,Moloch,2013
15515,24061,Near Death Experiment,1995
15516,24065,Medieval Serenades,1996
15517,24068,Tenacity,2005
15518,24068,Those Who Bought the Rain,2008
15519,24068,Eco-Ethic,2010
15520,24068,The Underground Heroes,2011
15521,24068,Exitus,2012
15522,24068,Ventum Iam ad Finem Est,2015
15523,24072,Códice 1,2013
15524,24073,The Gates Are Open,2012
15525,24073,And the Chaos Has Begun,2015
15526,24076,Trail of Yesterday,2008
15527,24076,The Outcome of Anxiety,2012
15528,24077,Glorification of the Unborn,2009
15529,24080,Psalms of Thrash,2009
15530,24081,Fresh Red Sexual Dissect,2006
15531,24081,赤裸雕刻,2012
15532,24082,Mind Disorder,1998
15533,24082,Eye Die Cry,2012
15534,24083,Worship Dehumanization,2010
15535,24084,Vaginator,2006
15536,24093,The Dark Matter,2014
15537,24100,The Messiah Experiment,2012
15538,24101,Anthology of the Damned,2010
15539,24101,Dies Irae,2013
15540,24102,Terror Thrash,2006
15541,24102,Terrorcaust: Sons of the Bleeding Nature,2007
15542,24103,Nitko neće preživjeti,2015
15543,24104,Larvario,2007
15544,24105,Flatness of Life,2007
15545,24109,Natastor,2005
15546,24109,Legiones de terror,2015
15547,24111,Hidden Inside a Spirit,1999
15548,24114,Beyond the Gates of Nathorg,2012
15549,24117,Existing to Ensure Your Destruction,2009
15550,24119,Spirit of Enchantment,2001
15551,24122,Crime Against Humanity,1991
15552,24122,Condemned to the System,2014
15553,24127,Screams of Terror,2005
15554,24129,I Trozzl,2011
15555,24130,Sadness vs Madness,1995
15556,24132,Down of Knowledge,2010
15557,24134,Mourning,1997
15558,24134,...of Dreams and Magic,1999
15559,24134,Metamorphosis,2001
15560,24135,Ruin,2004
15561,24136,In Memoriam,2010
15562,24136,Likvidace,2012
15563,24137,Unwritten Prophecy,2005
15564,24137,Slaughter of the Seoul,2009
15565,24140,VI,1997
15566,24145,Hell Torment,2015
15567,24150,Ablation of Death,2013
15568,24150,Stab Your Self,2015
15569,24157,Necrocult,2003
15570,24157,For Thine Is the Kingdom| and the Power| and the Glory,2015
15571,24158,Ritual,2016
15572,24160,World of Grey,1998
15573,24161,Haunted Eons,1999
15574,24161,Allegiance to the End,2003
15575,24161,Ice Fields of Hyperion,2006
15576,24161,Rise of the Supernatural,2014
15577,24166,Mórbida perversión,1998
15578,24166,Misery of the New Age,1998
15579,24171,Necrogrind,2005
15580,24171,Necrotopsy,2006
15581,24173,Holocaustic Goat Metal,2014
15582,24177,Necrokult of Kronos,2016
15583,24183,Blasphemic Blasphemy,2002
15584,24184,Forbidden Art,2014
15585,24186,......y a Satanás gloria!!!,2004
15586,24189,Revelations of the Third Millenium,2004
15587,24192,Ego Sum Papa,2013
15588,24194,Demo Ensayo 2015,2015
15589,24196,II : Born Again,2005
15590,24196,I: Gates of Hell,2012
15591,24199,Pathological Performances,1993
15592,24201,Infected with Darkness,2003
15593,24201,End of All Things Holy,2006
15594,24203,Cannibal Sex,1993
15595,24212,The Nocturnal Silence,1993
15596,24212,Darkside,1997
15597,24212,The Third Antichrist,1999
15598,24212,Bloodhymns,2002
15599,24212,Hrimthursum,2006
15600,24212,Death to All,2009
15601,24212,Womb of Lilithu,2013
15602,24214,I,2014
15603,24220,Necropotence,2012
15604,24221,Фрагменты тела,2010
15605,24224,Vicios y abortos,1993
15606,24227,Endless Aggression,2012
15607,24229,Necrometal,2012
15608,24232,Trivne Impvrity Rites,2007
15609,24232,Doom of the Occult,2011
15610,24234,Armageddon Shall Come,2012
15611,24236,Aniara MMXIV,2016
15612,24239,From the Deepest Hate,2005
15613,24239,New Era of Chaos,2008
15614,24239,Invocation of Blasphemy,2013
15615,24243,Necrosis,2014
15616,24248,Black Deceiver,2010
15617,24248,The Envoy of Satanic Decree,2015
15618,24251,Nekromantika,2015
15619,24253,Revived,2002
15620,24265,Anchors Apart,2012
15621,24265,Utopia 2.0,2014
15622,24270,Putrid Death Sorcery,2013
15623,24270,With Serpents Scourge,2015
15624,24286,Urban Cancer,2006
15625,24289,Emergency,1997
15626,24290,With His Own Eyes What the True Enemy of Mind Is,2012
15627,24292,The Dance of the Mournful Clown,1997
15628,24292,Stin,2005
15629,24292,The Garden of Wishes,2009
15630,24295,Technotic Subversion,2009
15631,24296,Dux Deus,2010
15632,24297,Chaosatanica,2009
15633,24306,Pray for Enemies,2013
15634,24308,The Perversion of Humanity,2004
15635,24314,Through Times of Despair,2010
15636,24315,Psycho One Hundred,1995
15637,24315,Incomplete,1998
15638,24323,Opening Insane,2003
15639,24323,Blasphemy - Desecration - Satanic Supremacy - Misanthropy,2010
15640,24323,Eradikate Kampaign,2013
15641,24327,Red Circles,2007
15642,24328,Manifestation of the Forgotten Subconscious,2004
15643,24328,Downfall / Collapse,2007
15644,24328,Perihelion,2012
15645,24331,Sidereal Passage,2004
15646,24331,Auguring the Dusk of a New Era,2014
15647,24332,Atonements,2008
15648,24332,Suffering is the Seed,2012
15649,24336,Where Death Becomes Art,1998
15650,24337,Pure Black Disease,2003
15651,24341,Getting Nervous,2007
15652,24341,Hate Parade,2010
15653,24341,Fracture,2013
15654,24342,Preaching Venom,2008
15655,24342,Psychogenocide,2011
15656,24344,Enough for Dementia,2009
15657,24344,Time to Panic,2015
15658,24346,Solstice of Suffering,2001
15659,24348,Regnum Inferni,2009
15660,24348,The Nine Virtues of Destruction,2010
15661,24348,Abyssmal Revelations,2013
15662,24351,Ignorant Indifference,2000
15663,24351,Gross Negligence,2002
15664,24359,Verdun 1916,1995
15665,24359,Karma,1996
15666,24359,Subversivos espirituales,2005
15667,24359,Masters of Thrash,2007
15668,24360,Catalept,2007
15669,24360,Opsialgia,2010
15670,24360,Causality Principle,2015
15671,24362,Havoc,2008
15672,24366,NTNR,2011
15673,24369,Zero,2007
15674,24371,Rewire Reality,2007
15675,24371,Signal to Noise,2011
15676,24377,In Excelsis...,2000
15677,24378,Nach der Schlacht,2015
15678,24380,Essence of the Nightbringer,2010
15679,24380,Fed to Rats,2010
15680,24380,Acolytes of the Descent,2010
15681,24380,Shadowstar Cenotaph,2014
15682,24390,Lust Souls,2000
15683,24390,Occulte,2004
15684,24392,The Living Ever Mourn,2014
15685,24392,Darkness Evermore,2015
15686,24394,The Riot,2010
15687,24394,Dead World,2014
15688,24395,Suffering from Echoes,1994
15689,24395,Bequest of Sorrow,1998
15690,24395,Gates of Delirium,2006
15691,24402,Sado Perverser Goat Insulter,2010
15692,24403,Nothing,1993
15693,24403,She's Such a Scream,1994
15694,24407,The End Is Within Sight,2007
15695,24407,Death Is a Border That Evil Cannot Cross,2013
15696,24412,Nineveh,2007
15697,24413,Ninmah,2015
15698,24414,Process of Life Separation,2004
15699,24414,Ninnuam,2010
15700,24415,Where No Kings Shall Roam,2009
15701,24417,Thrown Athwart the Darkness,2006
15702,24417,Splendour of the Abyss,2009
15703,24425,Black Bared Trees,2000
15704,24425,Der Quell des Lebens,2004
15705,24427,Godless and Without Fear,2013
15706,24427,Only Death Is Certain,2016
15707,24429,Psychological Torment,1990
15708,24429,Contamination Rises,1992
15709,24429,Seasons of Soul,1995
15710,24429,Self Mutilation,2000
15711,24429,Machinery,2002
15712,24429,No Return,2006
15713,24429,Manipulated Mind,2008
15714,24429,Inner Madness,2012
15715,24429,Fearless Walk to Rise,2015
15716,24432,Cerebral Cacophony,1992
15717,24432,Obey,2011
15718,24437,The Only True Armageddon,2000
15719,24437,Coming Straight with a Vengeance,2003
15720,24441,Requiem,2016
15721,24442,Estranged Dimensions,1991
15722,24444,Ночь ликана,2016
15723,24446,Devastated Graves - The Morbid Celebration,2010
15724,24447,Desecration| Crucifixion| Perversion,2012
15725,24451,Genocide,2007
15726,24454,Trax of Ninety Nine,1999
15727,24463,Samsara,2011
15728,24466,Mortal Machines,1999
15729,24466,Morbid Instincts,2006
15730,24473,Nothing but Hatred,1993
15731,24473,Fury Unleashed,2001
15732,24474,Archetype of Darkness,2010
15733,24475,...One Loud Noise and It's Gone...,2009
15734,24475,May the Hand That Holds the Match That Will Set This World on Fire Be Blessed Above All,2013
15735,24478,Babylon Shitstem,2008
15736,24478,Where the Corpse Is There the Vultures Will Gather,2010
15737,24482,Реквием опавших листьев,2005
15738,24482,antibioTHic,2009
15739,24483,Sculptured into Reality,2000
15740,24484,Imperio tirano,2010
15741,24485,Between Light and Darkness,1997
15742,24485,Necrotical,1998
15743,24489,Visión,1993
15744,24489,Sobre fosas y vampiros,1995
15745,24489,Hello!,1999
15746,24491,Jeg er blitt død,2016
15747,24493,World Wide War,2006
15748,24494,Mørk profeti,2016
15749,24499,Mind Remains here,2004
15750,24505,Manifesto,2014
15751,24516,Prophecies,1995
15752,24523,Amid Its Hallowed Mirth,1995
15753,24523,Of Sculptured Ivy and Stone Flowers,1999
15754,24523,The Knowing,2000
15755,24523,To Welcome the Fade,2002
15756,24523,The Pale Haunt Departure,2005
15757,24523,The Novella Reservoir,2007
15758,24523,Into Night's Requiem Infernal,2009
15759,24523,Aphotic,2011
15760,24523,Bled White,2014
15761,24527,Nothing but Hate,2010
15762,24527,Essence of Fear,2012
15763,24527,Peace with Death,2016
15764,24528,Blackened Souls of Triton,2016
15765,24529,Noxa,2002
15766,24529,Grind Viruses,2006
15767,24529,Legacy,2011
15768,24533,Noxious Death,2009
15769,24535,Creating Mass Genocide,2014
15770,24536,Desecrated Temple of Impurity,2008
15771,24540,Overkill Commando,2016
15772,24541,Holocaust,2006
15773,24541,Meltdown,2006
15774,24546,Testbomb,2004
15775,24546,Ten Years After,2015
15776,24549,Obora,2008
15777,24549,Koryto,2011
15778,24549,Chlew,2015
15779,24550,Obliteration Ritual,2009
15780,24550,Serpentine Hermetic Lucifer,2014
15781,24553,A Time the World Forgot,1994
15782,24554,Nuke,2016
15783,24557,Hadean Eon,2007
15784,24560,Continuous Insatiable,2004
15785,24568,War Criminal Views,1996
15786,24568,Insects,2000
15787,24570,Eclyptic End,2006
15788,24571,Hyperthrash,2015
15789,24572,Отступник,2008
15790,24572,Поднебесье,2009
15791,24574,Invisible para los demás,2010
15792,24577,Painking,2008
15793,24580,Tetragrammaton,2005
15794,24588,The Descent,2014
15795,24590,Enter Thy Realm,1999
15796,24594,El tiene el poder,2009
15797,24595,Sansmethod,2002
15798,24597,Obligatorisk tortyr,2000
15799,24597,Återförödelse,2007
15800,24597,Mörk triad,2014
15801,24598,Expectants,2007
15802,24599,The Feelings,2000
15803,24599,Tangled Ways,2003
15804,24599,Something Wrong,2009
15805,24599,Superboring,2012
15806,24604,Illusions Painted for Me Alone,2007
15807,24606,Remnants of Humanity,2005
15808,24606,Supreme Domination,2007
15809,24606,Age of Darkness,2011
15810,24609,Silence of the Mind,1995
15811,24610,Defining Hate: The Truth Undead,2004
15812,24612,Orgias Coprofilicas,2010
15813,24614,Where Is My Black Kingdom,2015
15814,24620,When Darkness Comes,2010
15815,24620,The Plague Within,2013
15816,24626,Traumatic Experiment,2010
15817,24634,Souls of Pain,2007
15818,24634,Into a New Age,2013
15819,24639,Glorification of the Antichrist,2007
15820,24639,[Post Nuclear],2013
15821,24642,Exterminate,2010
15822,24643,Nuctemeron,2015
15823,24644,October Thorns,2000
15824,24645,Philosophy ov Selfdestruction,2008
15825,24646,Goodbye Mrs Earth,2009
15826,24647,Rape Your God and Pray for Reprieve,2010
15827,24648,The Ravencult,2006
15828,24648,Riding on Dragon's Breath,2011
15829,24652,Psychotically Enraged,1999
15830,24652,No Motivation to Live,2006
15831,24654,Phantasmagoria,2000
15832,24656,Omnia Mors Aequat,2015
15833,24657,Беграничное зло,2006
15834,24657,Медленная смерть,2009
15835,24657,Время прощать,2012
15836,24658,The Stand,2012
15837,24664,Tiamtü,2008
15838,24664,Thaumiel,2012
15839,24666,Offal,2006
15840,24666,Macabre Rampages and Splatter Savages,2010
15841,24666,Horrorfiend,2015
15842,24667,Existence,2002
15843,24669,Manifiesto herético,2013
15844,24669,Dead Winter Sessions,2013
15845,24671,Ne Vivam,1997
15846,24671,The Pathway,2001
15847,24671,Reason,2004
15848,24671,Giving Yourself Away,2007
15849,24671,Mors Viri,2013
15850,24673,I,2013
15851,24675,Místicas ceremonias en el bosque ancestral,2014
15852,24675,Retaliación de los dioses,2015
15853,24675,Espíritus avasalladores de tribulación,2016
15854,24677,Abandoned,2015
15855,24679,Tales from the Churchyard,2012
15856,24679,Visions from Beyond,2016
15857,24684,Unholy Ground,2014
15858,24686,Disbelieve,2015
15859,24687,Sadistic Violation of Human Rights,2010
15860,24689,Green Eperience,2004
15861,24692,Beginning of the End,2011
15862,24698,Tenebrarum Daemonum Ars,2012
15863,24700,Risen to Ruin,2012
15864,24700,Constants and Variables,2016
15865,24702,Omnium,2007
15866,24703,Rectifying Human Rejection,2001
15867,24704,Omnivore,2014
15868,24705,Death Metal Holocaust,2014
15869,24707,Year Naught Doom,2012
15870,24711,One Bullet Left,2008
15871,24712,Product of Massmurder,2008
15872,24712,Interfectus,2014
15873,24713,When Guilt Reigns,1999
15874,24716,21st Century Killing Machine,2006
15875,24716,Error in Evolution,2007
15876,24716,Grim Tales,2008
15877,24716,The Dark Epic...,2011
15878,24721,Prehuman,2013
15879,24723,In stiller Trauer,1996
15880,24727,Long H.I.V. the Pope,2001
15881,24728,Mindstates,1994
15882,24731,Stream of Misery,2007
15883,24731,Withered Shades,2010
15884,24731,Abhorrence in Opulence,2014
15885,24736,Remember the Past,2013
15886,24739,Discerning Forces,2000
15887,24739,Mandatory Evac,2008
15888,24739,Beyond the Unknown,2015
15889,24739,Serpent Temptation,2016
15890,24739,Supernatural Death,2016
15891,24740,Entseelt,2014
15892,24747,Subconsciente,2008
15893,24748,Kapalgnosis,2013
15894,24750,Feasting of Abhorrence,2014
15895,24752,Birth,2006
15896,24755,Stillbirth Machine,1992
15897,24755,Dawn Bringer,1995
15898,24755,An Ending in Fire,1998
15899,24756,Eyehate Swansongs,2009
15900,24756,Deadweight Undertow,2014
15901,24758,Order of Ennead,2008
15902,24758,An Examination of Being,2010
15903,24762,Crow and the Storm,2006
15904,24762,Life Is Too Short for Learning to Live,2008
15905,24762,Remorse,2011
15906,24762,Trail for the Broken,2014
15907,24762,The Grand Wall,2016
15908,24766,Organismos,2006
15909,24766,Manejos invisibles,2011
15910,24767,The Dusk,2008
15911,24768,Manifesto barbarico,2014
15912,24769,Invocations at Black Dusk,2001
15913,24771,Where Feelings Die,1992
15914,24772,Orgy of Swines,2011
15915,24772,Horror Australis,2012
15916,24772,Terror Australis,2012
15917,24772,Son of Dick Punch,2014
15918,24774,Mr. Jakker Daw,2004
15919,24774,After the Storm,2013
15920,24775,Origin of Zed,2014
15921,24776,Human Decadence,2004
15922,24776,Still More Suffering,2006
15923,24776,Thirst for Blasphemy,2011
15924,24776,Voices from Chaos,2015
15925,24786,Mental Diaspora Association,2001
15926,24796,Woe to the Conquered,2011
15927,24796,The Great Architect of Nothing,2013
15928,24796,Crossing the Bridge of Siraat,2015
15929,24799,Hypervetrosis,2011
15930,24800,Onward,2013
15931,24811,The Wickedness of Mankind,2012
15932,24812,From Hell to Higher Plains,2006
15933,24812,Kill the Silence,2008
15934,24814,VII,2009
15935,24815,The Embodiment of Hate,2016
15936,24817,Flesholic Souls,2003
15937,24817,Aggression,2008
15938,24818,Tears of Blood,2013
15939,24819,New Blood,2015
15940,24820,Retreat to Nowhere,2015
15941,24822,Resolution Formula,2011
15942,24823,Funeral,2013
15943,24828,Overlord,1996
15944,24832,Within Suffering,1990
15945,24836,La realidad es sangrienta,2001
15946,24836,...Carne...Sangre...,2003
15947,24836,Los vendedores de la muerte,2006
15948,24836,Rise of the Worms,2010
15949,24837,The Return of the Splatterhead,2002
15950,24839,Carnage in E Minor,2008
15951,24841,Oxyrius,1997
15952,24843,Forced Disillusion,2001
15953,24845,Pachamama,2005
15954,24846,War Torn,2003
15955,24847,Torz koraszülött,2010
15956,24847,Surgical Excoriation,2014
15957,24847,Pregnant Pathology,2016
15958,24848,Rule or Ruin,1998
15959,24849,Black Wedding,1996
15960,24849,Nihilennium,1998
15961,24850,The Wasteland of Black Haze,2008
15962,24851,Funeral Temptations,2002
15963,24852,Disease Named Humanity,2013
15964,24859,Creator Preserver Destroyer,2009
15965,24860,Pain Is the Law,2009
15966,24860,Archangel's Requiem,2010
15967,24860,Imagines Pestis,2016
15968,24861,Memorial to Suffering,2006
15969,24864,Foxtail Barley Brew,2016
15970,24865,Death Carrier,2015
15971,24866,Terminal Ferocity,2013
15972,24867,Aggressive Ways to Pacify,2001
15973,24867,A Whole New Perception,2002
15974,24867,Hell's Wrath in God's Fury,2007
15975,24870,The Storm Before the Calm,2006
15976,24873,Burdening the Dead,2008
15977,24874,Random Antagonist Complex,2010
15978,24874,The Oblivious Ape Who Covets Its Own,2012
15979,24874,Never Again,2016
15980,24877,Reflections & Rebellions,2013
15981,24878,The Ancient Catatonia,1994
15982,24878,The Zonei,2004
15983,24878,Hellspawn,2007
15984,24878,Misanthropy,2012
15985,24879,Leo se întoarce bărbat,2003
15986,24879,Nu călăriți cu Skonxu',2004
15987,24879,Pandrea,2004
15988,24879,Instituția supremă,2005
15989,24879,Muget de zimbru,2007
15990,24879,Lipan,2012
15991,24880,Rotten Church,1987
15992,24880,Best Before End,1992
15993,24880,Boiling Point,1996
15994,24881,Ilustrasi dari Bab Sadis,2004
15995,24881,The Coming Sixth Age,2011
15996,24881,Daimonion,2016
15997,24882,Dead Reborn,2003
15998,24882,Rise of the Damned,2005
15999,24884,Here You Are!,1996
16000,24884,Defragmentation,1999
16001,24884,New World's End,2006
16002,24886,Demonic,2010
16003,24886,Return Of The Killer,2014
16004,24888,Revolusi Konflik,2014
16005,24892,Six Seconds Kill,1996
16006,24892,Outpost - Fort Europa,1999
16007,24892,Soul Collector,2000
16008,24892,Room Service,2003
16009,24892,Battalion Beast,2006
16010,24892,Regiment Ragnarok,2011
16011,24892,7th Offensive,2013
16012,24895,Pride of Creation,2010
16013,24904,Patrons of the Dark,1992
16014,24905,Exhumed of the Earth,1993
16015,24905,Within the Ancient Forest,1996
16016,24905,A Time to Mourn,1999
16017,24905,Echoes from the Ground,2004
16018,24907,Paranoia,2007
16019,24909,Tearing Away,2007
16020,24910,Третій легіон,2010
16021,24910,The Origins of Death Obsession,2012
16022,24913,They're All Gonnalaugh at You,2015
16023,24914,Cymothoa Exigua,2008
16024,24922,Biaeothanatus,2008
16025,24927,Tabula Raza,2005
16026,24928,Damnata Memoris,2008
16027,24929,Paroxsihzem,2012
16028,24941,Rotting Immortality,2014
16029,24942,Romance of Conflict Kingdom,2015
16030,24946,Black Sky,2013
16031,24948,Destroying the Harmony,2005
16032,24949,Fishing for People,2015
16033,24949,Don't Touch the Trim,2016
16034,24950,Putrefactive and Cadaverous Odes about Necroticism,1992
16035,24950,Grinding Opus of Forensic Medical Problems,1993
16036,24952,Perdition Splits the Skies,2003
16037,24965,Overmedication,2012
16038,24972,Last Rites,2011
16039,24972,Dawn of a New (sav)Age,2013
16040,24973,A Palpable Sense of Love & Loss,2015
16041,24978,Humanity Galore,2015
16042,24979,The Pain Tears,1992
16043,24979,De Profundis,1996
16044,24979,Moments of the Afflictions,2003
16045,24979,The Meaning of Life,2009
16046,24979,Emanation from the Grave,2014
16047,24980,Serpents of Annihilation,2016
16048,24982,The Malefice,2013
16049,24983,Какофонический марш тьмы,2008
16050,24983,Зов древних,2013
16051,24986,Valami űz!,2004
16052,24989,Suck My Heaven,1997
16053,24992,Edict of the Antichrist Elect,2010
16054,24992,The Tempter's Victorious,2015
16055,24993,Forever in Darkness,2012
16056,24994,The Agrarian Curse,2008
16057,25000,The Monument of Human Lies and Hypocrisy,2012
16058,25004,Retribution,2012
16059,25005,Irrational,1995
16060,25006,Grind Your Mind,2013
16061,25008,Arctic,1996
16062,25013,Gradual Decay of Conscience,2009
16063,25015,Mental Chaos,2002
16064,25018,In Blood and Heart,2009
16065,25021,Pillars of the Enlightened,2012
16066,25022,Storm of Evil,2013
16067,25023,Esencia del mal,2009
16068,25024,El merodeador,1996
16069,25031,...with Fear,2006
16070,25035,The Chronicles of Japanese Bear Dad,2007
16071,25036,Filet Wellington,2007
16072,25036,Notaus,2014
16073,25037,Keeper of Death,1993
16074,25040,Odd Sounds,2000
16075,25040,Anamorphosis of Dreams,2002
16076,25042,Fake You All,2011
16077,25044,Synthetic Morality,2000
16078,25054,Castigat ridendo mores!,2012
16079,25058,Humanos,2013
16080,25058,Asfixia,2015
16081,25062,Xenophobos,2014
16082,25062,M​.​W​.​O. (Modern World Obliterator),2016
16083,25063,Obscure Feelings,1994
16084,25066,Death on Red Wings,2012
16085,25068,The Return,2002
16086,25068,Pigs Are Back,2005
16087,25068,Planet of the Pigs,2009
16088,25069,Depravada sexual,2006
16089,25069,Muddy Bodies of Semen and Blood,2007
16090,25069,Sweet Lips Obsession,2010
16091,25069,Gargling Humiliation,2014
16092,25070,Tief in dir,2014
16093,25072,Void to Enlightenment,2015
16094,25075,The Devil's Epoch,2015
16095,25077,Grundle Punch,2006
16096,25078,Pissturbed,2009
16097,25079,Pit Messiah,2013
16098,25081,C.I.A.,2009
16099,25082,Endorphine,2006
16100,25092,Luscious Decrepit Bones,2011
16101,25093,Shrykull,2016
16102,25096,Gorefuck,2000
16103,25096,Creeping! Crushing! Crawling!,2007
16104,25096,Dreadful Desecration,2016
16105,25097,Back from the Bed,1999
16106,25098,Wet Planet,2004
16107,25101,I Hope You Get...,2012
16108,25104,Aus Schatten Gerissen,2014
16109,25106,Desolate,2000
16110,25106,Lights Out,2001
16111,25107,Dankstahz,1994
16112,25107,Sniping Pigz,2000
16113,25114,Arcane XIII,1999
16114,25114,Iconoclast,2002
16115,25114,Telluric Manifesto,2006
16116,25114,Timeline Symmetry,2009
16117,25114,Transient Chronicles,2012
16118,25115,Rule of the Damned,2011
16119,25115,Wrath| War| Lucifer,2013
16120,25117,Poets of the Plague,1999
16121,25123,Into the Abyss,1993
16122,25124,Poison Oath,2010
16123,25125,Beyond the Gates of Fire,2016
16124,25126,Daemoncracy,2007
16125,25128,Polarity of Life,2014
16126,25130,Speak Dialect or Die,2014
16127,25133,Death Grind Destruction,2012
